Id,Label,gender,age,team（复仇者联盟、银河护卫队、神盾局）,team(正派 (Hero)、反派 (Villain)、中立 (Neutral) -主属性-只写英文）,race,first_appearance（剧中）,cleaned_year,era,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Clustering Coefficient
Daredevil / Matt Murdo,Daredevil / Matt Murdo,Male,35,"Defenders, Marvel Knights, Avengers",Hero,White,1964,1964,Silver Age,0.4447852760736196,0.013280259338858246,0.6417322834645669,0.09872879018555057,0.4095785440613027
"Norriss, Sister Barb","Norriss, Sister Barb",Female,30,,Hero,White,1973,1973,Bronze Age,0.18711656441717792,0.0006027981887485656,0.5506756756756757,0.05132649553564099,0.6797814207650273
Rage / Elvin Daryl Hal,Rage / Elvin Daryl Hal,Male,16,"Avengers, New Warriors",Hero,White,1991,1991,Modern Age,0.1441717791411043,0.0002193093760793456,0.5379537953795379,0.04300818842673918,0.8094357076780758
Starfox / Eros,Starfox / Eros,Male,1000,"Avengers, Guardians of the Galaxy",Hero,Other,1983,1983,Bronze Age,0.22392638036809817,0.0011065629751946546,0.5630397236614854,0.06062914347562337,0.6415525114155252
Demolition Man / Denni,Demolition Man / Denni,Male,35,"Avengers, Unlimited Class Wrestling Federation",Hero,White,1987,1987,Modern Age,0.09202453987730061,0.00011913071454978286,0.49770992366412214,0.027450357544919157,0.8022988505747126
Sersi / Sylvia,Sersi / Sylvia,Female,5000,"Avengers, Eternals",Hero,White,1989,1989,Modern Age,0.25153374233128833,0.0019571887224581466,0.5709281961471103,0.06364133986017005,0.5739235170129479
Spider-man / Peter Parker,Spider-man / Peter Parker,Male,28,"Avengers, Fantastic Four, Future Foundation, New Warriors",Hero,White,1962,1962,Silver Age,0.6687116564417178,0.06180893220299028,0.7511520737327189,0.12375189187336597,0.276201750306515
Vision,Vision,Male,5,"Avengers, West Coast Avengers, Illuminati",Hero,White,1968,1968,Silver Age,0.6533742331288344,0.028624301178771634,0.7425968109339408,0.12724776896390277,0.29550890247143236
Uatu,Uatu,Male,10000,Watchers,Neutral,Other,1963,1963,Silver Age,0.25153374233128833,0.0007462517033293199,0.5719298245614035,0.07301766391068495,0.6997892201144233
Binary / Carol Danvers,Binary / Carol Danvers,Female,35,"Avengers, X-Men, Guardians of the Galaxy",Hero,White,1979,1979,Bronze Age,0.2638036809815951,0.0030630913640604385,0.5759717314487632,0.06683704621233982,0.5499316005471956
"Gyrich, Henry Peter","Gyrich, Henry Peter",Male,50,,Neutral,White,1977,1977,Bronze Age,0.1687116564417178,0.0008062359209964395,0.5370675453047776,0.047163427932908765,0.6632996632996633
Nightcrawler / Kurt Wa,Nightcrawler / Kurt Wa,Male,25,"X-Men, Excalibur",Hero,Black,1975,1975,Bronze Age,0.43558282208588955,0.008620155900904694,0.6392156862745098,0.0920422243569867,0.39606432923783835
Angel / Warren Kenneth,Angel / Warren Kenneth,Male,28,"X-Men, X-Factor, Champions, Defenders",Hero,White,1963,1963,Silver Age,0.5184049079754601,0.012523265650341788,0.6749482401656315,0.11276318589873202,0.39180050718512255
Silver Surfer / Norrin,Silver Surfer / Norrin,Male,35,"Defenders, Guardians of the Galaxy, Annihilators",Neutral,White,1966,1966,Silver Age,0.36503067484662577,0.0036908872534314055,0.6116322701688556,0.09082327735233155,0.5265631676399374
She-hulk / Jennifer Wa,She-hulk / Jennifer Wa,Female,32,"Avengers, Fantastic Four, Future Foundation",Hero,White,1980,1980,Bronze Age,0.5460122699386504,0.012879877492563394,0.6877637130801688,0.11777195760114817,0.37250047609979053
Ghaur [deviant],Ghaur [deviant],Male,500,,Villain,White,1985,1985,Bronze Age,0.06134969325153374,7.009848935941035e-05,0.5038639876352395,0.019161007692950507,0.8157894736842105
Dr. Doom / Victor Von,Dr. Doom / Victor Von,Male,45,"Fantastic Four, Cabal, Infamous Iron Man",Villain,White,1962,1962,Silver Age,0.38650306748466257,0.0036279648157013147,0.6197718631178707,0.09647788134805936,0.5186031746031746
Storm / Ororo Munroe S,Storm / Ororo Munroe S,Female,30,"X-Men, Avengers, Fantastic Four",Hero,Other,1975,1975,Bronze Age,0.5828220858895705,0.018403267162696524,0.7056277056277056,0.12006587207302549,0.3464216095795043
Scarlet Witch / Wanda,Scarlet Witch / Wanda,Female,35,"Avengers, Brotherhood of Evil Mutants, West Coast Avengers",Hero,White,1964,1964,Silver Age,0.5950920245398773,0.018814076166521317,0.7117903930131004,0.12228529857369135,0.33203354521660167
Toad / Mortimer Toynbe,Toad / Mortimer Toynbe,Male,35,"Brotherhood of Evil Mutants, X-Factor",Villain,White,1964,1964,Silver Age,0.11656441717791412,0.000267210294794744,0.5309446254071661,0.034711300432340095,0.7638691322901849
Hulk / Dr. Robert Bruce Banner,Hulk / Dr. Robert Bruce Banner,Male,40,"Avengers, Defenders, Illuminati",Hero,White,1962,1962,Silver Age,0.558282208588957,0.014016161477632249,0.6936170212765957,0.1193489315592906,0.3633052030842086
Firestar / Angelica Jo,Firestar / Angelica Jo,Female,25,"X-Men, New Warriors, Avengers",Hero,Asian,1985,1985,Bronze Age,0.2791411042944785,0.0024413147231005148,0.5811051693404634,0.07813092014493103,0.6493284493284494
Wonder Man / Simon Wil,Wonder Man / Simon Wil,Male,35,"Avengers, West Coast Avengers, Revengers",Hero,Other,1964,1964,Silver Age,0.49386503067484666,0.008053960988847898,0.6639511201629328,0.11289111273357597,0.4201863354037267
Drax / Arthur Douglas,Drax / Arthur Douglas,Male,35,"Guardians of the Galaxy, Infinity Watch",Hero,Other,1973,1973,Bronze Age,0.23006134969325154,0.00026785237495084073,0.5649913344887348,0.07171268952959656,0.8313513513513513
"Dugan, Timothy Aloyi","Dugan, Timothy Aloyi",Male,65,"Howling Commandos, S.H.I.E.L.D.",Hero,White,1963,1963,Silver Age,0.147239263803681,0.0006864762591389791,0.5397350993377483,0.043982400340729456,0.7313829787234043
"Carter, Sharon","Carter, Sharon",Female,35,S.H.I.E.L.D.,Hero,White,1966,1966,Silver Age,0.06134969325153374,5.47522847095469e-05,0.4787077826725404,0.01495632825310136,0.8
Black Knight V / Dane,Black Knight V / Dane,Male,35,"Avengers, MI-13, Heroes for Hire",Hero,White,1967,1967,Silver Age,0.4325153374233129,0.006349386993929726,0.63671875,0.10303735608420136,0.46707193515704154
Sunfire / Shiro Yoshid,Sunfire / Shiro Yoshid,Male,30,"X-Men, Avengers, Big Hero 6",Hero,White,1970,1970,Silver Age,0.15644171779141106,0.00034754370896441817,0.5344262295081967,0.04760575517161077,0.7474509803921568
Triton,Triton,Male,35,Inhuman Royal Family,Hero,White,1965,1965,Silver Age,0.11656441717791412,0.00011087319045874327,0.5300813008130081,0.03532618351684583,0.8620199146514936
Ultron,Ultron,Male,10,"Masters of Evil, Phalanx",Villain,White,1968,1968,Silver Age,0.15950920245398773,0.00016382983328446172,0.5424292845257903,0.04754780736945443,0.8288084464555053
"Jones, Richard Milho","Jones, Richard Milho",Male,30,,Hero,White,1962,1962,Silver Age,0.20552147239263804,0.00048198853602592225,0.5563139931740614,0.05985773336056575,0.7191316146540027
Iron Man / Tony Stark,Iron Man / Tony Stark,Male,45,"Avengers, Illuminati, Guardians of the Galaxy",Hero,White,1963,1963,Silver Age,0.6226993865030676,0.024893411682719642,0.7260579064587973,0.11896061183030368,0.2918109544944642
"Nelson, Franklin Fog","Nelson, Franklin Fog",Male,50,,Hero,White,1964,1964,Silver Age,0.12269938650306748,0.000691938873290406,0.5283630470016207,0.026037830631929913,0.5448717948717948
Captain America,Captain America,Male,35,"Avengers, Invaders, Illuminati",Hero,White,1941,1941,before 1961,0.7914110429447853,0.06712415218882699,0.8274111675126904,0.1394186977547888,0.23792718607667482
"Jarvis, Edwin","Jarvis, Edwin",Male,65,Avengers,Hero,White,1964,1964,Silver Age,0.39877300613496935,0.00979619704903395,0.6233269598470363,0.08615706867384515,0.4098986285032797
Quasar Iii / Wendell V,Quasar Iii / Wendell V,Male,30,"Avengers, Guardians of the Galaxy, Annihilators",Neutral,White,1978,1978,Bronze Age,0.3834355828220859,0.004369667899951005,0.618595825426945,0.09561412973640883,0.5221935483870968
"Jameson, J. Jonah","Jameson, J. Jonah",Male,55,,Neutral,Other,1963,1963,Silver Age,0.25766871165644173,0.008888367355469622,0.5729349736379613,0.05579764988774813,0.4670109007458405
"Masters, Alicia Reis","Masters, Alicia Reis",Female,30,Fantastic Four,Villain,White,1962,1962,Silver Age,0.17791411042944785,0.00021758327513284054,0.5478991596638656,0.05491705251323972,0.8064125831820932
Magneto / Magnus / Eric,Magneto / Magnus / Eric,Male,60,"X-Men, Brotherhood of Evil Mutants",Hero,White,1963,1963,Silver Age,0.36503067484662577,0.006873487691439136,0.6116322701688556,0.08057781186394536,0.446944879646774
Invisible Woman / Sue,Invisible Woman / Sue,Female,35,"Fantastic Four, Future Foundation, Avengers",Hero,Black,1961,1961,before 1961,0.598159509202454,0.018605411074321763,0.7133479212253829,0.1231504840814568,0.33000264340470525
Professor X / Charles,Professor X / Charles,Male,60,"X-Men, Illuminati",Hero,White,1963,1963,Silver Age,0.5674846625766872,0.017495276322605283,0.6980728051391863,0.11850825803580688,0.3572855464159812
Iron Fist / Daniel Ran,Iron Fist / Daniel Ran,Male,30,"Defenders, Heroes for Hire, Avengers",Hero,Black,1974,1974,Bronze Age,0.17177914110429449,0.0008623681246927195,0.5460636515912898,0.04975969008799372,0.6811688311688312
Black Bolt / Blackanto,Black Bolt / Blackanto,Male,40,"Inhuman Royal Family, Illuminati",Hero,White,1965,1965,Silver Age,0.13496932515337423,9.490415226315415e-05,0.535303776683087,0.04292386271402883,0.8974630021141649
Hawk,Hawk,Male,35,"Avengers, Thunderbolts",Hero,White,1974,1974,Bronze Age,0.5214723926380368,0.01338459526012733,0.6763485477178424,0.10914159526148332,0.35976331360946745
Sandman / William Bake,Sandman / William Bake,Male,35,"Frightful Four, Sinister Six, Avengers",Villain,White,1963,1963,Silver Age,0.17177914110429449,0.0006147141889454018,0.5424292845257903,0.04728457863265182,0.7064935064935065
Falcon / Sam Wilson,Falcon / Sam Wilson,Male,40,"Avengers, S.H.I.E.L.D.",Hero,White,1969,1969,Silver Age,0.25766871165644173,0.002069639518807757,0.5729349736379613,0.06574048178081371,0.5834767641996558
Stingray / Dr. Walter,Stingray / Dr. Walter,Male,40,"Avengers, Defenders",Hero,White,1969,1969,Silver Age,0.11656441717791412,0.00017285462862705146,0.5174603174603175,0.03556504316280997,0.817923186344239
Justice Ii / Vance Ast,Justice Ii / Vance Ast,Male,25,"New Warriors, Avengers",Hero,White,1975,1975,Bronze Age,0.15030674846625766,0.0006594527311550337,0.5388429752066116,0.04398775599483583,0.7448979591836735
Hercules [greek God],Hercules [greek God],Male,3000,"Avengers, Champions, Gods of Olympus",Hero,White,1964,1964,Silver Age,0.5245398773006135,0.014562022144098791,0.6777546777546778,0.1135789706599199,0.3804609563123495
Usagent / Captain John,Usagent / Captain John,Male,20s,"Avengers, West Coast Avengers, Force Works, Commission on Superhuman Activities, Omega Flight, Thunderbolts, S.H.I.E.L.D.",Hero,White,1986,1986,Modern Age,0.2852760736196319,0.0016864406973403833,0.5821428571428572,0.08044016212945099,0.6610565684899485
Captain Marvel Ii / Mo,Captain Marvel Ii / Mo,Female,20s,"Avengers, Nextwave, Ultimates, S.H.I.E.L.D.",Hero,Black,1982,1982,Bronze Age,0.3006134969325153,0.0023299549942498244,0.5873873873873874,0.07383173438623618,0.5529139490847885
Crystal [inhuman],Crystal [inhuman],Female,teens,"Inhumans, Fantastic Four, Avengers, Galactic Council, Universal Inhumans, Knights of the Infinite",Hero,Other,1965,1965,Silver Age,0.34969325153374237,0.0022092731262122927,0.6048237476808905,0.09276678762838406,0.5865548827821767
Tigra / Greer Nelson,Tigra / Greer Nelson,Female,20s,"Avengers, West Coast Avengers, Avengers Academy, Lady Liberators, New Warriors, Midnight Mission, S.H.I.E.L.D.",Hero,White,1972,1972,Bronze Age,0.2392638036809816,0.0007515984277166981,0.5669565217391305,0.06735972221372519,0.6843156843156843
Spider-woman Ii / Juli,Spider-woman Ii / Juli,Female,20s,"Avengers, West Coast Avengers, Omega Flight, Commission on Superhuman Activities, Force Works",Hero,White,1984,1984,Bronze Age,0.27607361963190186,0.001133268553281,0.5790408525754884,0.07800935777592942,0.6626716604244695
Machine Man / X-51,Machine Man / X-51,Male,N/A (Robot),"Avengers, S.H.I.E.L.D., Nextwave, Mercs for Money",Hero,Other,1977,1977,Bronze Age,0.13190184049079756,6.112258037667835e-05,0.5344262295081967,0.0440336410134475,0.9014396456256921
Mockingbird / Dr. Barb,Mockingbird / Dr. Barb,Female,20s,"S.H.I.E.L.D., Avengers, West Coast Avengers, New Avengers, Secret Avengers",Hero,White,1971,1971,Bronze Age,0.1901840490797546,0.0005265238629175675,0.5516074450084603,0.056127893992254166,0.7398202009518773
Captain Marvel / Capta,Captain Marvel / Capta,Male,30s,"Avengers, Kree Empire, Starforce",Hero,Other,1967,1967,Silver Age,0.11349693251533742,7.612277458818541e-05,0.5258064516129032,0.03601490680339941,0.8468468468468469
Wasp / Janet Van Dyne,Wasp / Janet Van Dyne,Female,20s,"Avengers, Lady Liberators, Initiative, Secret Avengers, Mighty Avengers, New Avengers",Hero,White,1963,1963,Silver Age,0.5766871165644172,0.01620200024568797,0.7025862068965517,0.1191079720640278,0.33775173512344975
"Fury, Col. Nicholas","Fury, Col. Nicholas",Male,30s,"S.H.I.E.L.D., Avengers, Howling Commandos, United States Army",Hero,White,1963,1963,Silver Age,0.3282208588957055,0.004876731030305364,0.5981651376146789,0.07950660640518928,0.4903897019925939
Thor / Dr. Donald Blak,Thor / Dr. Donald Blak,Male,Unknown (Asgardian),"Avengers, Guardians of the Galaxy, Revengers, Asgardians, God Squad",Hero,Other,1962,1962,Silver Age,0.6288343558282209,0.02864758978950041,0.7293064876957495,0.11735758873989494,0.284026781444285
Quicksilver / Pietro M,Quicksilver / Pietro M,Male,teens,"Brotherhood of Evil Mutants, Avengers, X-Factor, Inhumans, Mighty Avengers, Knights of Wundagore",Villain,White,1964,1964,Silver Age,0.48773006134969327,0.01332043953263921,0.6612576064908722,0.11030635952974481,0.4110341533317411
Captain Britain / Bria,Captain Britain / Bria,Male,20s,"Excalibur, Captain Britain Corps, Avengers, MI-13, New Excalibur",Hero,White,1976,1976,Bronze Age,0.13496932515337423,0.00042612402336147297,0.5361842105263158,0.041106046708299246,0.7315010570824524
Shadowcat / Katherine,Shadowcat / Katherine,Female,13,"X-Men, Excalibur, S.H.I.E.L.D., Jean Grey School, Guardians of the Galaxy, New Mutants",Hero,White,1980,1980,Bronze Age,0.34662576687116564,0.004599031810873507,0.6048237476808905,0.07831245071265192,0.46918457648546147
Black Widow / Natasha,Black Widow / Natasha,Female,Unknown (enhanced),"Avengers, S.H.I.E.L.D., KGB, Red Room, Stark Industries, Champions, Thunderbolts",Villain,White,1964,1964,Silver Age,0.450920245398773,0.007510124694601674,0.6455445544554456,0.10363804573293822,0.43658559314136614
Ant-man / Dr. Henry J.,Ant-man / Dr. Henry J.,Male,30s,"Avengers, West Coast Avengers, Mighty Avengers, S.H.I.E.L.D., Defenders",Hero,White,1962,1962,Silver Age,0.5,0.010303923753235312,0.6666666666666666,0.10977450603281365,0.38839657653563586
Moon Knight / Marc Spe,Moon Knight / Marc Spe,Male,30s,"Avengers, Midnight Sons, West Coast Avengers, Secret Avengers",Hero,White,1975,1975,Bronze Age,0.2116564417177914,0.0008846618935276675,0.5582191780821918,0.06376014398832534,0.7399829497016198
Jocasta,Jocasta,Female,N/A (Android),"Avengers, Mighty Avengers, Avengers Academy, Mavericks",Villain,Other,1977,1977,Bronze Age,0.08282208588957056,3.605103741017661e-05,0.5069984447900466,0.026731584817411495,0.9002849002849003
Moondragon / Heather D,Moondragon / Heather D,Female,20s,"Guardians of the Galaxy, Avengers, Defenders, Infinity Watch",Hero,White,1973,1973,Bronze Age,0.3159509202453988,0.0017375935379014538,0.5938069216757741,0.08741429158877433,0.6476299257567104
Thing / Benjamin J. Gr,Thing / Benjamin J. Gr,Male,30s,"Fantastic Four, Avengers, Guardians of the Galaxy, Heroes for Hire, S.H.I.E.L.D.",Hero,White,1961,1961,before 1961,0.656441717791411,0.025036538867153575,0.7442922374429224,0.1297555389192671,0.3013031459786758
Beast / Henry &hank& P,Beast / Henry &hank& P,Male,teens,"X-Men, Avengers, Defenders, X-Factor, Illuminati, Secret Avengers, Jean Grey School",Hero,White,1963,1963,Silver Age,0.6288343558282209,0.03120304535740402,0.7293064876957495,0.12603837063681292,0.31850789096126253
Nova / Richard Rider,Nova / Richard Rider,Male,17,"Nova Corps, Avengers, Champions, New Warriors, Guardians of the Galaxy",Hero,White,1976,1976,Bronze Age,0.3159509202453988,0.0022748907312994918,0.5938069216757741,0.0858098646046741,0.6226917951646678
Wrecker Iii / Dirk Gar,Wrecker Iii / Dirk Gar,Male,30s,"Wrecking Crew, Masters of Evil, Thunderbolts",Villain,White,1968,1968,Silver Age,0.16564417177914112,0.0006586197764774732,0.5442404006677797,0.04285540363542287,0.7176799440950384
Warlock Ii / Adam Warl,Warlock Ii / Adam Warl,Male,N/A (Artificial),"Guardians of the Galaxy, Infinity Watch, Annihilators, Avengers",Hero,Other,1967,1967,Silver Age,0.23006134969325154,0.00028379427762770444,0.5649913344887348,0.07065880642028671,0.8241441441441442
Piledriver Ii / Brian,Piledriver Ii / Brian,Male,30s,"Wrecking Crew, Masters of Evil, Thunderbolts",Villain,White,1974,1974,Bronze Age,0.15030674846625766,0.0004329287471706224,0.5397350993377483,0.040574136308659955,0.7891156462585034
Thunderball / Dr. Elio,Thunderball / Dr. Elio,Male,30s,"Wrecking Crew, Frightful Four, Masters of Evil, Secret Empire, Illuminati, Lethal Legion",Villain,Black,1974,1974,Bronze Age,0.1687116564417178,0.0007424994520530585,0.5451505016722408,0.04371573609214561,0.7016835016835017
Dr. Octopus / Otto Oct,Dr. Octopus / Otto Oct,Male,30s,"Sinister Six, Masters of Evil, Thunderbolts, Avengers, Mighty Avengers, Parker Industries, Horizon Labs, Spiderlings, Superior Six, Spider-Army / Web-Warriors, Legion Accursed",Villain,White,1963,1963,Silver Age,0.17484662576687118,0.0025391613562428146,0.5469798657718121,0.039716868214717704,0.62531328320802
"Banner, Betty Ross T","Banner, Betty Ross T",Female,20s,"Hulk supporting cast, Hulkbusters",Neutral,White,1962,1962,Silver Age,0.11349693251533742,7.483826280131523e-05,0.5292207792207793,0.03669389823227099,0.8723723723723724
Avalanche / Dominic Pe,Avalanche / Dominic Pe,Male,20s,"Brotherhood of Evil Mutants, X-Corps, Freedom Force, Project Wide Awake",Villain,White,1981,1981,Bronze Age,0.1196319018404908,0.00025915163594104944,0.5199362041467305,0.030369742683582453,0.7705802968960864
Attuma,Attuma,Male,Unknown,"Atlanteans, Lethal Legion, Deep Six, The Worthy, Cabal, Talokan",Villain,Other,1964,1964,Silver Age,0.0736196319018405,2.7850923221144084e-05,0.5046439628482973,0.024405910258391516,0.8804347826086957
Hela [asgardian],Hela [asgardian],Female,Unknown (Asgardian),"Asgardians, Cabal, Fear Lords",Villain,Other,1964,1964,Silver Age,0.10122699386503067,0.0009170298546544869,0.5166402535657686,0.019329410312841855,0.5284090909090909
Doc Samson / Dr. Leona,Doc Samson / Dr. Leona,Male,30s,"S.H.I.E.L.D., Agents of S.M.A.S.H., Gamma Flight",Hero,White,1971,1971,Bronze Age,0.12269938650306748,9.230682269061975e-05,0.531810766721044,0.040254876641489495,0.8782051282051282
Guardian / James Macdo,Guardian / James Macdo,Male,30s,"Alpha Flight, Beta Flight, Department H",Hero,White,1979,1979,Bronze Age,0.10122699386503067,0.00013495672286706825,0.5158227848101266,0.03300266472119248,0.8636363636363636
Northstar / Jean-paul,Northstar / Jean-paul,Male,20s,"Alpha Flight, X-Men, Jean Grey School",Hero,White,1979,1979,Bronze Age,0.22699386503067484,0.0005575956263651052,0.5630397236614854,0.06945556050466185,0.7911884487226953
Dr. Druid / Anthony Lu,Dr. Druid / Anthony Lu,Male,40s,"Avengers, Monster Hunters, Defenders, Secret Defenders, Legion of the Unliving, A.I.M., Bureau 18, Shock Troop",Hero,White,1961,1961,before 1961,0.21779141104294478,0.0003766981817602802,0.5601374570446735,0.06887386640347501,0.8350100603621731
"Watson-parker, Mary","Watson-parker, Mary",Female,teens,Spider-Man supporting cast,Neutral,White,1965,1965,Silver Age,0.17791411042944785,0.0032545158627542395,0.5442404006677797,0.031786728061967945,0.4869933454325469
